time(s),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
0.0,6878000.0,0.0,0.0,0.0,-7612.68398902253,-10.0
2.2751377196571174e-07,6878000.0,-0.0017319904491254964,-2.2751377196571173e-06,-1.9169956326254155e-06,-7612.68398902253,-10.0
2.502651491622829e-06,6878000.0,-0.01905189494038046,-2.5026514916228292e-05,-2.108695195887957e-05,-7612.68398902253,-10.0
2.5254028688194004e-05,6877999.999999997,-0.19225093985293012,-0.00025254028688193996,-0.0002127865152214211,-7612.683989022527,-9.999999999999996
0.00025276780065390574,6877999.999999731,-1.924241388978402,-0.002527678006539024,-0.0021297821478468083,-7612.683989022233,-9.99999999999961
0.002527905520311023,6877999.999973078,-19.244145880208286,-0.025279055203077248,-0.021299738474073196,-7612.683988992733,-9.999999999960858
0.025279282716882196,6877999.997307765,-192.4431907676739,-0.25279282713583867,-0.21299930170885112,-7612.683986042721,-9.99999999608573
0.2527930546825939,6877999.730776039,-1924.433614809059,-2.5279305138425388,-2.129994906570614,-7612.683691041004,-9.999999608572315
2.527930774339711,6877973.077616422,-19244.313021956026,-25.279274760000906,-21.29992346917605,-7612.654190883767,-9.999960857249814
20.80315590520542,6876176.848758953,-158353.85877958906,-208.0131777543043,-175.2686660048036,-7610.666095122049,-9.99734930032116
48.6636259004197,6868025.586456561,-370281.70878133306,-486.4009977496481,-409.8339093978146,-7601.64414343099,-9.985498090282665
81.69561744856148,6849901.377476446,-621075.776278583,-815.8433703200769,-687.4169213180887,-7581.583969847045,-9.959147103412763
118.35257646347321,6819072.535772508,-898406.2316628615,-1180.143866418678,-994.3708395775311,-7547.462099538132,-9.914324711785687
157.86082454940293,6773280.626546458,-1195639.398604097,-1570.5885077171279,-1323.3533974905895,-7496.778860360627,-9.84774735319496
199.75651933242875,6710576.847373983,-1508324.3753805268,-1981.3306023940124,-1669.4382584594211,-7427.377286933494,-9.756581644061086
243.73203760570934,6629244.1613511415,-1833031.9015539985,-2407.8654837074873,-2028.8298545572698,-7337.356936461131,-9.638331168141985
289.56970905845975,6527757.448097968,-2166856.4569107117,-2846.3764685823194,-2398.3123015496294,-7225.029783341767,-9.490778539816233
337.10769546905897,6404765.390451183,-2507162.673597764,-3293.401745314906,-2774.9687238168613,-7088.900171184498,-9.311959069109754
386.21959084376863,6259088.529416438,-2851437.4324800023,-3745.6400877690016,-3156.017552347584,-6927.662660105356,-9.100157933910072
436.80013141559493,6089732.968674737,-3197192.116312086,-4199.8224554210165,-3538.7043371650393,-6740.217195180383,-8.85393010520305
488.7532135824805,5895922.475299066,-3541889.8644399266,-4652.61643534307,-3920.2212319156806,-6525.704636083244,-8.572147018703642
541.9799681819648,5677154.114072154,-3882886.5076347166,-5100.548654369246,-4297.641619930574,-6283.568334030051,-8.254077462155186
596.365529928908,5433283.347006499,-4217383.032801632,-5539.942336872366,-4667.86750183993,-6013.648321186153,-7.89951130226582
651.7642201497061,5164641.131146793,-4542397.056492762,-5966.879832451847,-5027.597922556031,-5716.310916138187,-7.508929734087335
707.9847788147711,4872173.49117778,-4854772.535847174,-6377.215372196905,-5373.339720160729,-5392.603204639106,-7.083708206481741
764.7801461220243,4557570.295155823,-5151256.764074936,-6766.676209735008,-5701.4927464328,-5044.395569965788,-6.626303649592959
821.8485821854326,4223322.6446767915,-5428668.524241284,-7131.083507563704,-6008.535982693534,-4674.4452124075415,-6.140337913865961
878.8510887880178,3872645.5163784516,-5684146.042242331,-7466.678047373114,-6291.301978288591,-4286.310526753863,-5.630485296558626
935.4420705625187,3509253.141468796,-5915407.501122031,-7770.462440910503,-6547.2651916213235,-3884.102488083416,-5.102145962822417
991.3009845505946,3137058.2304760218,-6120929.156082973,-8040.4351013510295,-6774.739129851924,-3472.15174859435,-4.561008645047112
1046.151620613112,2759908.437328907,-6299985.60330482,-8275.643140302924,-6972.920918049181,-3054.7169518651294,-4.012667485304818
1099.7638472895708,2381436.4433487067,-6452571.523966465,-8476.07957097793,-7141.804683320968,-2635.8188036315078,-3.4624040711953246
1151.9414431981347,2005031.2041354133,-6579268.557964758,-8642.508433887504,-7282.0342078799,-2219.2082475996212,-2.9151456316848474
1202.5022842726842,1633898.8285971973,-6681115.62401171,-8776.294449691937,-7394.75939688105,-1808.4338474423769,-2.375553549904519
1251.2545198354562,1271184.6073630243,-6759513.876517106,-8879.278170832136,-7481.531083019797,-1406.9768497352352,-1.848200781438047
1297.9676597353007,920155.8130676844,-6816176.232768581,-8953.709680577165,-7544.245162430728,-1018.4535099067003,-1.3378376291138672
1342.3310122217858,584493.2515090965,-6853124.826742385,-9002.24524835731,-7585.139776782307,-646.9377849153936,-0.8498156311864196
1383.8775925471143,268849.81947602326,-6872749.017257143,-9028.023529109614,-7606.859518367296,-297.5795521056367,-0.39089965186358067
1416.3400193071896,21792.309016797255,-6877971.366334822,-9034.883591979964,-7612.639219107183,-24.133142945595637,-0.03170122781977425
1448.7979833273725,-225259.37613718954,-6874316.634124525,-9030.082746160582,-7608.59363645641,249.30678479165965,0.32748868224552596
1480.13294650791,-463491.1229418478,-6862372.249504886,-9014.392636552902,-7595.372963820242,512.9846611748228,0.6738551894634612
1516.3441944989327,-738083.2181235491,-6838290.514701657,-8982.758938322482,-7568.718429638398,816.9065867202523,1.0730861650085965
1556.120942937369,-1038329.8072132871,-6799181.072772714,-8931.384886824562,-7525.430969202954,1149.223175357074,1.5096162890962657
1598.7611739003341,-1357940.6689570663,-6742625.46030448,-8857.093595409095,-7462.833809180022,1502.972322269534,1.9743001606750221
1643.827230703179,-1692432.8012252615,-6666534.47253046,-8757.140690646802,-7378.614602066258,1873.192177700795,2.4606199080402313
1691.0178233562365,-2038167.6650312918,-6569086.212165549,-8629.132933454424,-7270.756859397617,2255.8555563446166,2.9632854320467725
1740.1075423775417,-2391903.806730027,-6448707.496453051,-8471.003795444645,-7137.51937343877,2647.374773996971,3.4775839609452843
1790.9115952483946,-2750547.20184931,-6304088.6718364665,-8281.032919436755,-6977.45261448245,3044.3253251155857,3.9990170740116042
1843.2606292963062,-3110990.117642661,-6134231.539659879,-8057.909074520138,-6789.451775664315,3443.267534092128,4.52306642316601
1896.9794912363168,-3469999.681124742,-5938532.723360481,-7800.8396669608655,-6572.849044731001,3840.6232212232494,5.045031721744156
1951.8681987835384,-3824151.5194407003,-5716900.096566095,-7509.703679818907,-6327.542467885478,4232.60225529416,5.559934264180101
2007.686998054285,-4169826.8545063795,-5469884.691187824,-7185.224947042838,-6054.141946890878,4615.199338021824,6.06251270206005
2064.150501708057,-4503302.348475875,-5198785.954068648,-6829.110418303565,-5754.085737786495,4984.293445986708,6.5473536707606
2120.9363601486925,-4820946.237370595,-4905669.930313909,-6444.074044565458,-5429.660575566116,5335.86491318385,7.009176948469365
2177.70895376468,-5119484.8731100485,-4593256.680219778,-6033.688889284311,-5083.877064945666,5666.290442006296,7.443222981772362
2234.14995183434,-5396251.374114473,-4264694.009687553,-5602.0899013242015,-4720.219241731979,5972.618311520757,7.8456143984608575
2289.9829660492455,-5649327.353780701,-3923296.467381514,-5153.631062367622,-4342.355691453056,6252.7252431051065,8.213562065785894
2344.983949571723,-5877549.148004463,-3572335.467548245,-4692.609692848863,-3953.907254970216,6505.323292319296,8.545374143600283
2398.9776862188382,-6080416.020926175,-3214920.6361253764,-4223.110588540501,-3558.3157014514572,6729.858249485101,8.84032262364961
2451.8259677626297,-6257960.755444732,-2853963.7112824656,-3748.958600406737,-3158.8037737024288,6926.3664075830275,9.098455180289674
2503.4130189107746,-6410627.643560236,-2492196.1927146567,-3273.7418186652685,-2758.3947232371293,7095.339520550849,9.320417780092162
2553.631208263506,-6539178.088693134,-2132215.866283032,-2800.8726874223125,-2359.963804841778,7237.620322931347,9.507317436751583
2602.367640788299,-6644627.184750844,-1776549.7626079943,-2333.6707069015033,-1966.307960342171,7354.332334979103,9.660630003273527
2649.4905488372215,-6728207.810030745,-1427733.5419568873,-1875.466713206114,-1580.2336831179205,7446.84012151145,9.782147968114499
2694.8329892553897,-6791358.385492632,-1088419.7995333872,-1429.7451478386436,-1204.6768920224279,7516.735742744033,9.873962657038106
2738.1690592296777,-6835733.645234087,-761547.1192920748,-1000.3661263100184,-842.8900424985643,7565.850675269021,9.93847989247808
2779.1719721099084,-6863244.607889013,-450647.5848610883,-591.9693836115131,-498.7824837524702,7596.300052895591,9.978478108180292
2817.324297506324,-6876150.463476078,-160515.46971872,-210.8526637256776,-177.6605737019769,7610.584367986789,9.99724194378912
2845.2626912207397,-6877825.991194962,52154.885053875216,68.51050842131468,57.725674867619034,7612.438856521986,9.999677994645653
2873.1986216073137,-6872926.174084508,264756.63462408027,347.7835609698985,293.0359905874992,7607.015695027677,9.99255414515692
2904.0818635062615,-6859863.253253316,499485.53834607196,656.1227801736251,552.8369231649323,7592.557537769541,9.973561950972865
2939.1630964437913,-6835303.486810045,765398.4210526212,1005.4251853305907,847.1526839375365,7565.374569380779,9.937854481139675
2977.4043245328758,-6796795.280370507,1053935.7683912897,1384.447022772863,1166.5094974695003,7522.753342885591,9.881867359440355
3018.225113011843,-6742257.628825152,1359840.5026797764,1786.282610234001,1505.0887681121217,7462.390582328263,9.80257500914134
3061.2560055730214,-6669871.387859715,1679290.4483994618,2205.911148841845,1858.6600689837833,7382.272840987173,9.697332572365271
3106.242666858201,-6578024.704485423,2009175.815165708,2639.2476268066994,2223.7814508202964,7280.616103263486,9.563796571304048
3153.0001742439013,-6465285.833425968,2346757.41309811,3082.6938521054158,2597.421150261181,7155.835697486855,9.399885385766115
3201.3875222290567,-6330393.909653144,2689479.139238717,3532.892135174582,2976.7500472641486,7006.5360827594,9.203765837203816
3251.291088027831,-6172265.140728952,3034851.061826559,3986.5717087466196,3359.0122610869994,6831.517702600442,8.973862191641576
3302.611913355796,-5990015.756350648,3380366.996445214,4440.440456112054,3741.4339222629696,6629.802385647652,8.70888952596458
3355.253971937206,-5783005.847079457,3723439.8146128086,4891.099932667635,4121.151571001108,6400.68186674905,8.40791746508698
3409.1116653590925,-5550909.964723771,4061348.2001319584,5334.97542520931,4495.153226023638,6143.79592818173,8.070472828034204
3464.0556894532847,-5293819.3878930975,4391197.561115582,5768.264606080688,4860.23512097676,5859.24558829954,7.696688312228069
3519.917872724557,-5012373.57460591,4709908.619209118,6186.92254400786,5212.989074206569,5547.738594862752,7.287493613110148
3576.478068055751,-4707900.036323221,5014258.965410666,6586.716291706332,5549.8484825863525,5210.744239506559,6.844818787986529
3633.459076617928,-4382513.986211509,5301006.891374427,6963.387550328457,5867.225378989484,4850.603650172508,6.371739135851524
3690.5361797887044,-4039110.269840419,5567106.788357103,7312.935616905753,6161.748838319006,4470.520860842985,5.872463466616334
3747.3626401908186,-3681204.1178223696,5809975.279544473,7631.96697501491,6430.559536412834,4074.386555881384,5.352102572176443
